家居 	 家装 减碳 从 点滴 来 做起   实现 家居 装修 低碳 的 目标 “ 低碳 节能 ” 之风 吹遍 大江南北 的 时候 ， 也 深入 家装 人士 之心 。 作为 “ 定制 化 ” 程度 很 高 的 行业 ， 消费者 的 选择 决定 了 原材料 的 选择 、 生产 的 过程 和 成品 的 呈现 ， 只有 消费者 和 企业 一起 努力 ， 才能 真正 实现 “ 减碳 ” 。 在 装修 过程 中 怎么 做 才能 实现 “ 低碳 ” 目标 呢 ？ 专家 表示 ， 材料 、 设计 、 工程 哪个 环节 都 不能 少 。 一 、 设计 ： 简约 、 自然 最佳 低碳 家装 要 从 源头 — — 设计 抓起 。 首先 ， “ 轻 装修 、 重 装饰 ” 的 设计 理念 ， 可以 让 整体 工程 的 “ 碳 排量 ” 降下来 ， 在 低 碳 之 余 还 为 家装 费用 “ 减负 ” 。 其次 ， 空间设计 上应 考虑 利用 自然资源 、 自然通风 、 多向 采光 ， 减少 空调 及 照明设备 的 使用 。 采用 一些 特殊 的 节能 系统 ， 像 红外线 感应 灯光 开关 系统 实现 “ 人 走 灯 熄 ” 来 节约 电能 。 二 、 材料 ： 选用 环保 、 节能产品 在 设计 选材 上 ， 尽量 选用 环保 、 易 再生 、 可回收 的 装饰 材料 ， 少用 或 不用 纯实 木地板 ， 多用 复合 强化 地板 ， 如 竹地板 、 竹胶 饰面板 等 ； 用 水性漆 而 尽量 不用 油性 漆 ； 选用 工厂 加工 好 的 成品 或 半成品 。 在 保证 使用 功能 的 情况 下 ， 可 尽量 选择 耗电量 、 用水量 低 的 日常 用具 ， 减少 资源 浪费 和 水电 费用 支出 。 一些 可以 自行 调节 能耗 功能 的 产品 也 可 考虑 。 如 具有 随控 开关 的 面板 可以 方便 地 将 电器 电源 关掉 ， 避免 其 长期 处于 待机 状态 而 耗电 ， 还 可以 保护 电器 ； 带有 定时 控制阀 的 采暖系统 在 家中 无人 时 可 调低 室温 ， 待 需要 提高 温度 时 ， 使用 自控 调节阀 定时 调整 ， 达到 节能 的 效果 。 家装 公司 减碳 要点 家装 公司 的 所作所为 也 能 做到 减碳 。 1 、 节省 施工 照明用 电 ： 日常 施工 照明用 电 ， 采用 节能灯 取代 白炽灯 ； 油工 打磨 腻子 时用 防爆灯 ， 采用 瓦数 更 低 的 白炽灯 。 2 、 节省 施工 机具 用电 ： 采用 低 功率 气泵 、 电钻 取代 大功率 气泵 、 电钻 ； 采用 非 电动式 陶瓷 切割机 取代 大功率 云母 机 。 3 、 节省 施工 用水 ： 现场 使用 临时 水盆 ， 洗手 时 水盆 下水 接入 专用 存 水桶 内 ， 洗手 水 用于 冲厕 等 。 三 、 施工 ： 点滴 做起 多头并进 施工 工程 部分 是 家装 的 重点 ， 此 过程 减碳 一方面 要 在 过程 中 主动出击 直接 减少 碳 排量 ， 另一方面 是 为 家装 完成 后 的 “ 碳 排量 ” 打下基础 ， 做好 “ 卫士 ” 工作 。 1 、 直接 减排 瓷砖 采用 薄 贴法 ， 用 石膏板 轻质 隔墙 部分 代替 砖 砌墙 以及 采用 合理 防水 涂布 ， 都 可以 做到 直接 减排 。 专家 介绍 ， 传统 铺 贴法 采用 水泥砂浆 作为 瓷砖 粘贴 材料 ， 粘贴 层 厚度 为 20 - 30mm 。 薄贴 法则 采用 新型 的 瓷砖 粘贴 材料 ， 粘贴 层 厚度 仅为 2 - 4mm ， 材料 为 成品 ， 较 传统 方法 节省 大量 的 材料 和 施工 时间 ， 粘贴 强度 还 优于 传统 方法 。 出于 格局 改造 需要 ， 新建 墙体 也 很 常见 。 黏土砖 的 生产 存在 高能耗 、 严重 污染环境 的 问题 ， 用 其 砌 新建 墙 还 会 加重 楼梯 承载 。 石膏板 则 质轻 、 耐火 、 保温 ， 用 它 砌筑 轻质 墙 将 会 大为 节省 煤 、 水泥 用量 ， 从而 减少 碳 排量 。 2 、 减碳 卫士 更换 优质 门窗 、 做好 外墙 内 保温 、 减少 水电 备用 端口 等 可 作为 房屋建筑 一道 防止 能量 损失 的 墙 。 一些 老房 的 门窗 老化 、 生锈 ， 已经 成为 能源 损耗 的 “ 罪魁祸首 ” 。 年志仁 表示 ， 最好 能够 换上 密封 性能 好 的 门窗 产品 ， 铁窗 、 木窗 可 换成 塑钢窗 或 断桥 铝合金 窗 ， 窗玻璃 可 换成 中空 双层 玻璃 或 真空 双层 玻璃 。 做好 外墙 内 保温 系统 可以 减少 夏季 制冷 、 冬季 采暖 的 能耗 。 位于 顶层 、 西 向 、 把 角 的 户型 可 在 与 外部 相接 的 墙体 内侧 做 一个 保温层 ， 实现 隔热 、 保温 、 隔音 。 不少 业主 在 装修 中会 将 今后 可能 用到 的 端口 位置 都 预留 出来 。 事实上 ， 这些 备用 端口 的 使用率 极低 ， 不仅 会 造成 材料 浪费 ， 备用 强电 端口 还会 产生 电能 损耗 ， 水路 端口 会 留下 渗漏 、 爆管 等 隐患 ， 建议 合理 预留 端口 ， 不要 一味 求全 。 无绳电话 、 电冰箱 等 需要 长期 通电 使用 的 电器 ， 可 在 总控 开关 中 单独 布线 。 不 需用 电时 可 将 总控 开关 中 的 其他 开关 关掉 ， 既 可 减少 电能 损耗 ， 又 可 保证 电器 安全 ， 最大 程度 避免 电路 隐患 。 我要 评论 
 家居 	 昆明 慕思 启幕 盛典 暨 2011 慕思 探索 欧洲 睡眠 文化 之旅 闪动 春城 ( 新浪 乐居 房产 讯   编辑 / 李秀婷 ) 7 月 23 日 ， “ 昆明 慕思 启幕 盛典 暨 2011 慕思 探索 欧洲 睡眠 文化 之旅 昆明 站 ” 在 居然 之 家 世纪 金源 店 隆重举行 。 昆明 慕思 的 启幕 预示 着 慕思 正式 将 其 整合 的 全球 睡眠 资源 全面 引入 昆明 ， 给 春城 人民 带来 更加 近距离 的 优质 健康 睡眠 体验 。 昆明 家居 协会会长 、 昆明 居然 之 家 总经理 、 慕思 营运 中心 总经理 、 明星 邰正宵 等 重要 嘉宾 出席 了 本次 活动 ， 凤凰卫视 主持人 尉迟 琳 嘉 特邀 莅临 主持 。 活动 现场 以 激情 四射 的 法国 著名 舞蹈 康康舞 开场 ， 慕思 营运 中心 总经理 盛艳 、 昆明 居然 之 家 总经理 陈洋 等 嘉宾 、 专家 与 大家 一起 分享 健康 睡眠 文化 知识 。 随后 ， 欧洲 宫廷 服装秀 、 魔术 表演 、 小提琴 表演 以及 技艺 超群 的 《 肩上 芭蕾 》 都 先后 亮相 。 邰正宵 同时 出席 活动 ， 献唱 经典 情歌 并 参与 剪彩 ， 表达 对 健康 睡眠 的 认识 及 期待 ， 引爆 活动 现场 。 倡导 东西方 睡眠 文化交流   帮 全人类 找回 好 睡眠 据悉 ， 慕思 欧洲 睡眠 文化 之旅 旨在 募集 对 健康 睡眠 看重 的 消费 达 人 ， 带领 消费者 游历 欧洲 璀璨 文明 五 ， 走访 欧洲 先进 寝具 厂商 ， 探讨 中国 与 欧洲 的 睡眠 文化差异 、 倡导 健康 睡眠 理念 、 让 国人 意识 到 良好 的 睡眠 习惯 对 美好生活 的 重要性 。 此次 慕思 畅享 o 欧洲 睡眠 文化 之旅 活动 将 在 国内 诸多 城市 以及 瑞士 、 法国 、 意大利 、 比利时 4 个 国家 间 展开 ， 既 是 融合 了 东方人 的 睡眠 观点 探讨 ， 又 包含 了 西方 顶尖 的 睡眠 标准 及 睡眠 文化 的 走访 ， 从 社会 、 生活 方式 、 文化 、 科技 及 消费 等 多个 层面 ， 发掘 睡眠 话题 的 各个 学科 的 跨界 内涵 ， 以 引发 公众 关注 及 讨论 的 社会 效应 。 “ 很长 一段时间 来看 ， 国人 在 买 床 的 时候 ， 看重 的 更 多 是 款式 ， 而 欧洲人 ， 他们 对 睡眠 的 看重 让 人 惊讶 ： 他们 把 最 先进 、 最 精华 的 材料 都 用 在 了 床 的 身上 ， 一系列 高科技 材料 、 高品质 织物 ， 我们 都 能够 从 欧洲人 的 床架 上 、 床垫 上 找到 。 ” 慕思 营运 中心 总经理 盛艳 在 接受 新浪 乐居 采访 时 表示 ， 慕思 希望 通过 打造 欧洲 探访 之旅 这 一 平台 ， 对 欧洲 水民 文化 以及 寝具 用品 调研 ， 将 欧洲 睡眠 设计 元素 和 最 先进 、 最 精华 的 材料 ， 结合 用于 寝具 这个 优质 睡眠 的 体 ， 帮助 中国 人 找到 最佳 睡眠 状态 。 慕思 欧洲 之旅     探索 睡眠 再度 升级 慕思 带领 消费者 和 文化名人 前往 德 、 意 、 比 、 法等 欧洲 国家 探索 睡眠 文化 ， 解开 睡眠 的 神秘 面纱 ， 似乎 大题小做 ， 不可思议 。 但是 慕思 通过 自己 近 3 年 的 切实 行动 ， 发现 了 睡眠 这个 领域 潜藏 的 无限 价值 。 2009 年 ， 慕思 成功 举办 了 第一届 欧洲 睡眠 之旅 活动 ， 虽然 当时 整个 见证 之旅 的 团队 只有 10 人 ， 却 引起 了 全国 媒体 的 广泛 关注 ， 市场 反馈 良好 ， 并 在 睡眠 文化 的 技术 层面 上 让 活动 参与者 大开眼界 。 2010 年 ， 慕思 欧洲 之旅 在 上 一届 成功 举办 的 基础 上 ， 再 上层 楼 ， 吸引 了 近万名 消费者 通过 慕思 600 家 专卖店 参与 活动 ， 更 实现 了 与 兰博基尼 寝具 的 历史性 牵手 。 业内人士 表示 ， 慕思 公司 之所以 能 在 业内 赢得 “ 健康 睡眠 专家 ” 的 美誉 ， 主要 是 其 在 高端 床品 中 采用 了 大量 的 国外 最新 睡眠 科技 技术 ， 注重 引进 国际 领先 技术 。 这些 优质 的 睡眠 资源 、 国际 领先 的 睡眠 产品 ， 均 具 遵循 欧式 现代 的 设计 风格 ， 突出 简单 、 环保 、 实用 的 品质 ， 同时 具有 全面 自动化 机器 制造 、 符合人体 工程学 ， 能 有效 记忆 睡眠 者 信息 等 特点 。 把 最 有效 的 健康 睡眠 技术 和 材料 运用 于 产品 中 ， 是 构建 “ 健康 睡眠 系统 ” 的 重要 保障 。   主办方 表示 ， 2011 年 第三届 慕思 欧洲 睡眠 文化 之旅 也 将 在 探索 睡眠 升级 的 道路 中 不断 前行 。 升级 睡眠 系统 概念   睡眠 亦 有 “ 道 ” 此次 欧洲 睡眠 文化 之旅 ， 相较 上 两届 活动 ， 有 了 更 多 的 不同 和 亮点 。 据 举办方 介绍 ， 慕思站 在 东西方 睡眠 文化交流 以及 博采众长 、 “ 拿来主义 ” 的 全球 大视野 下 ， 秉承 更加 开放 的 态度 ， 无论 东方 的 观念 ， 还是 西方 的 技术 ， 只要 有助于 睡眠 ， 就是 此次 活动 的 关注 重点 。 并且 此次 活动 中 ， 慕思 将 再次 升级 “ 睡眠 系统 ” 的 概念 — — 不再 是 单纯 的 寝具 概念 ， 更是 融合 了 睡眠 的 其他 几 大 要素 ： 色彩 、 听觉 、 气味 、 饮食 、 身体 、 心态 等 六大 方向 ， 从 寝具 硬件 到 睡眠 意识 、 从 城市 文化 到 睡眠 文化 ， 从 科技 到 哲学 层面 的 探讨 ， 实现 睡眠 由 “ 技 ” 向 “ 道 ” 的 步步 衍进 ， 从而 使得 慕思向 真正 的 睡眠 专家 又 迈 进一步 。 对 睡眠 的 研究 任重而道远 ， 慕思 一直 秉承 精益求精 、 服务 至上 的 原则 ， 力争 打造 真正 的 睡眠 专家 ， 我们 有 理由 相信 ， 慕思 的 明天 一定 会 更加 美好 ！ 我要 评论 
 家居 	   如何 利用 风水 来 规划 自己 的 新房 主持人 ： 接下来 给 我们 讲讲 怎样 规划 一个 房子 ？ 张定 ? ： 我们 在 规划 的 时候 有 几个 原则 。 第一 ， 一 进门 要 先 看 客厅 。 我们 讲 客厅 代表 迎宾 之 所 ， 我们 中国 就是 一个 很 好客 的 民族 ， 客人 带来 的 都 是 一些 财富 ， 因为 我们 常讲 朋友 就是 我们 的 财富 ， 他会 带 一些 好 的 消息 给 我们 。 我们 讲 迎宾 ， 迎客 ， 也 是 迎 财神 。 当 客厅 的 位置 非常 好 的 时候 ， 可以 带来 很多 好 朋友 到 你家 来 。 我们 最 忌讳 的 就是 很多 人一 进门 的 时候 ， 把 餐厅 放在 大门口 。 你 觉得 这样 好不好 ？ 主持人 ： 不好 。 感觉 一 进门 就 想 吃饭 的 感觉 。 张定 ? ： 答对 了 。 所以 一 进门 我们 第一件 事情 就是 要 看到 客厅 ， 要 迎宾 ， 迎客 ， 迎 财神 。 把 一些 好 的 赚钱 机会 告诉 给 你 。 不要 一 进门 就 吃饭 。 另外 ， 餐厅 、 厨房 是 代表 女人 的 ， 因为 男人 要 出外 去 打江山 。 客厅 才 是 代表 男主人 的 地方 ， 在 以前 比较 传统 的 社会 里面 ， 有 宾客 到 家里 来 ， 女性 要 避开 的 。 这是 以前 古时候 留下 的 比较 传统 的 规矩 ， 因为 女人 是 要 主内 的 。 所以 ， 客厅 一定 要 放在 大门口 。 第二 ， 最 重要 的 部分 是 厨房 。 为什么 厨房 很 重要 ？ 主持人 ： 刚才 老师 提 的 家 是 女人 为主 ， 客厅 是 男主人 的 ， 厨房 是 女主人 的 。 张定 ? ： 你 这个 观念 是 对 的 ， 但是 这个 解释 不 对 。 我们 讲 民以食为天 ， 一个 家有 饭 吃 ， 肯定 代表 这个 家 有钱 。 所以 厨房 是 个 代表 我们 煮饭 的 地方 ， 也 代表 这个 家 最 重要 的 财库 。 一个 家 如果 没有 温饱 ， 这个 家 的 经济 状况 肯定 不好 。 我们 传统 讲 “ 大船 入港 ” ， 就是 希望 家里 好象 是 一个 大船 一样 ， 把 财带 回来 。 一个 家 最 重要 的 ， 有没有 钱 就 在 这个 瓦斯炉 ， 赚钱 就要 看 客厅 和 家里 的 布置 。 另外 ， 一个 家 最 和谐 的 地方 要 看 夫妻 是否 和 乐 ， 家庭 安康 。 跟 夫妻 之间 的 关系 影响 ， 就是 夫妻 相处 之道 ， 现在 是 男女平等 。 男女平等 会 产生 一个 现象 ， 如何 让 整个 家庭 和谐 ， 最 重要 的 地方 除了 客厅 、 厨房 以外 就是 厕所 。 因为 古代 茅坑 是 不 干净 的 地方 ， 是 有 污秽 的 地方 。 现在 土地 贵 了 ， 你 不 可能 跑 到 外面 上 厕所 ， 厕所 肯定 是 在 卫生间 里面 。 厕所 太 多 ， 代表 着 这个 家 的 污秽 多 ， 对 这个 家 的 影响 不好 。 这边 有 一个 图 ， 我们 把 这个 房子 分成 左青龙 ， 右白虎 。 大家 知道 男左女右 。 为什么 叫 “ 青龙 白虎 ” 我们 知道 以前 皇帝 都 称 自己 为 皇帝 的 化身 ， 因为 皇帝 是 阳刚 的 。 以前 有 一个 故事 ， 说 女人 是 母老虎 ， 当然 这 没有 贬低 女人 的 意思 。 所以 厕所 在 布置 的 时候 尽量 不要 放在 我们 的 左手边 ， 也 就是 青龙 边 。 因为 厕所 代表 白虎 ， 白虎 压着 青龙 ， 代表 着 妻夺 夫权 。 可以 把 厕所 放到 这个 区块 ， 右手边 。 右手边 代表 女人 的 本位 。 所以 厕所 的 位置 很 重要 ， 当 厕所 位置 摆错 的 时候 ， 这个 家庭 就 不 和谐 了 。 我们 常称 男人 是 印钞机 ， 女人 是 收银机 。 所以 才 有 男主外 ， 女主内 。 另外 ， 还有 一个 很 重要 的 跟 夫妻感情 有关 的 ， 就是 卧室 。 卧室 代表 生儿育女 的 地方 ， 也 代表 修身养性 的 地方 。 在 厕所 里面 是 排泄 污秽 ， 在 屋子 里面 我们 睡觉 的 时间 最 多 。 一个 人 正常 睡觉 的 时间 起码 有 8 个 小时 ， 这个 卧室 已经 占 到 人类 生活 的 七分 之一 的 时间 。 除了 睡觉 以外 ， 卧室 里面 最 重要 的 就是 梳妆台 。 以前 在 传统 社会 里面 ， 女人 在 结婚 的 时候 ， 一定 要 帮 女人 准备 一个 嫁妆 ， 就是 梳妆台 。 现在 女人 会 觉得 梳妆台 很 累赘 ， 她 会 放 一个 镜子 。 以前 有 一句 话 叫做 “ 话梅 之 乐 ” 。 梳妆台 代表 着 家 和 万事兴 ， 当然 女人 化妆 代表 着 女人 有 好 脸色 给 男人 看 ， 所以 给 全 天下 女性朋友 一个 建议 ， 一定 要 有 梳妆台 。 因为 化妆 不是 给 别人 看 的 ， 是 给 自己 的 男人 看 。 所以 梳妆台 一定 要 有 。 主持人 ： 刚才 谈到 卫生间 ， 我 想 问 一下 ， 现在 好多 楼盘 都 是 暗卫 。 这会 有 什么 影响 吗 ？ 张定 ? ： 这个 影响 就 比较严重 了 ， 因为 卫生间 本身 就 代表 着 污秽 ， 污秽 对 一个 家庭 的 健康 肯定 有 影响 。 就算 你 有 暗卫 ， 建议 大家 要装 一个 除湿 器 ， 这样 对 身体 的 健康 会 比较 好 。 
 家居 	 10 分钟 精通 卫生间 装修 ( 组图 ) 现代 生活 中 卫生间 不仅 是 方便 、 洗尽 身上 尘垢 的 地方 ， 也 是 调剂身心 、 放松 神经 、 恢复 省略 的 场所 。 因此 ， 无论 在 空间 布置 上 ， 还是 设备 材料 、 色彩 、 线条 、 灯光 等 设计 方面 ， 都 就 不应 忽视 ， 使 之 发挥 最佳 效果 。   卫生间 的 材料 选择 卫生间 的 设计 基本上 以 方便 、 安全 、 易于 清洗 及 美观 得体 为主 。 由于 卫生间 的 水气 很 重 ， 内部 装潢 用料 必须 以 防水材料 为主 。 浴室 的 墙壁 和 天花板 所 占 面积 最大 ， 所以 应 选择 既 防水 又 抗腐蚀 和 防霉 的 材料 来 确保 室内 卫生 ， 瓷砖 、 强化 板和具 防水 功能 是 塑料 壁纸 都 能 达到 这些 要求 。 天然 石料 如 大理石 则 具有 特殊 的 质感 ， 但 可异 在 狭小 的 卫生间 内 发挥 不了 效果 。 在 地板 方面 ， 以 天然 石料 做 在 怕 地砖 既 了 望洋兴叹 又 耐用 ； 大型 瓷砖 清洗 方便 ， 容易 保持 干爽 ； 而 塑料 地板 的 实用价值 很 高 ， 加上 饰钉 后 ， 其 防滑 作用 更 显著 。 目前 ， 大部分 家庭 采用 多种 花纹 和 颜色 的 防滑 耐磨 砖 ， 并 根据 空间 的 大小 ， 配制 多种 规格 的 砖 ， 大致 有 300 毫米 × 300 毫米 、 200 毫米 × 300 毫米 、 200 毫米 × 200 毫米 等 。 墙面 用 方形 或 长方形 的 装饰 瓷片 ， 配以 腰线 、 花砖 、 踢 角线 ， 增加 整体 美感 。 同时 也 可 采用 PVC 扣 墙板 ， 简洁 大方 ， 纹路 素雅 。 卫生间 的 吊顶 浴室 吊顶 可以 根据 不同 造型 ， 选用 多种 材料 ， 如 平顶 可以 用 PVC 扣板 、 铝扣板 、 塑 铝板 ， 配以 轻钢 龙骨 。 而 穹型 等 艺术 吊顶 可以 选用 软 一点 的 防水 板 、 软板 、 塑 铝板 ， 或 再饰 以 多种 彩色玻璃 装点 。 从 一般 吊顶 高度 而言 ， 发达国家 的 家庭 卫生间 大都 较 矮 ， 而 国内 不少 住宅 中 ， 卫生间 的 屋高 等同于 其他 房间 ， 所以 为了 避免 空荡 、 冷寂 ， 一般 吊顶 高度 可 设计 在 2.2 米 ～ 2.4 米 之间 。 在 面积 超过 8 平方米 时 ， 不妨 在 洗面盆 上方 安装 化妆品 柜 ， 离 水源 较 远处 挂置 储 衣箱 ， 或 划出 一块 地方 做 日常 更衣 之用 。 卫生间 的 色彩 在 色彩 搭配 上 ， 卫生间 的 色彩 效果 由 墙面 、 地面材料 、 灯光 等 融会 组成 。 卫生间 的 色彩 以 清洁 感 的 冷色调 为佳 ， 搭配 同类 色 和 类似 色为 宜 ， 如浅 灰色 的 瓷砖 、 白色 的 浴缸 、 奶 白色 的 洗脸 台 ， 配 上 淡黄色 的 墙面 。 也 可用 清晰 单纯 的 暖色调 ， 如 乳白 、 象牙 黄 或 玫瑰红 墙体 ， 辅助 以 颜色 相近 的 、 图案 简单 的 地板 ， 在 柔和 、 弥漫 的 灯光 映衬 下 ， 不仅 使 空间 视野 开阔 ， 暖意 倍增 ， 而且 愈加 清雅 洁净 ， 怡心 爽神 。 黑色 配 金色 ， 代表 着 神秘 与 高贵 ， 再 加上 玻璃 、 云石 、 镜子 ， 借着 灯光 散下 点点 星辉 ， 更 显得 金光灿烂 ， 气派 不凡 。 另外 ， 卫生间 大胆 使用 黑 白色 超级 大素 ， 显得 分明 、 简洁 明净 ， 以 绿色植物 作 点缀 ， 可 平添 不少 生气 。 
 家居 	 12 万 打造 140 平 都市田园 风 家园 ( 组图 ) 田园 风格 成为 现代人 喜爱 的 一种 风格 之一 ， 在 碎花 与 绿草 中 享受 大自然 的 美好 ， 是 都市 紧张 生活 一味 不可 欠缺 的 调和剂 。 下面 秀秀 时尚 达 人 如何 用 12 万 就 能 装点 出 美丽 的 都市田园 风格 的 房子 来 。 田园 风格 成为 现代人 喜爱 的 一种 风格 之一 ， 在 碎花 与 绿草 中 享受 大自然 的 美好 ， 是 都市 紧张 生活 一味 不可 欠缺 的 调和剂 。 下面 秀秀 时尚 达 人 如何 用 12 万 就 能 装点 出 美丽 的 都市田园 风格 的 房子 来 。 
 家居 	 12 星座 之 住宅 风水   解密 星座 与 住宅 ( 组图 ) 白羊座 男性 住宅 应当 是 个性 强 ， 大量 采用 石材 等 自然 建筑材料 的 房子 ， 最好 是 中西合璧 的 风格 。 所 处 位置 距离 繁华 街道 越近 越 好 ， 而且 门窗 朝东 向 ， 视角 开阔 ， 这会 使 你 福 从 天降 。 住宅 应有 充分 的 生活空间 ， 你 需要 单独 的 房间 。 选择 独立 的 别墅 会 比 公寓 更 适合 你 。 白羊座 女性 住宅 应 在 距离 繁华 街道 较近 的 地方 ， 能 ? 望 周围 ， 且 独具 个性 ， 最好 是 中西合璧 的 风格 。 庭院 宽阔 ， 宅地 比 周围 地势 高 ， 屋子 里面 颜色 清爽 ， 厨房 和 客厅 宽敞 ， 是 较 好 的 选择 。 门窗 要朝东 ， 最 重要 的 是 要 称心如意 ， 才 是 没有 后患 的 住宅 。 
 家居 	 12 种 沙发 生活 全新 解读 ( 组图 ) 看电视 、 玩游戏 、 用 电脑 、 款待 客人 、 和 孩子 一起 玩耍 ， 配合 这 种种 活动 ， 你 要 选择 适合 的 沙发 组合 ， 让 自己 、 家人 以及 客人 都 得到 彻底 的 舒展 和 放松 。 现在 就 行动 ， 看看 有 哪些 新 款式 能 让 你家 的 沙发 区域 变得 更 得体 更 温馨 。 1 . 直角 转角 沙发 方便 待客 直角 转角 沙发 摆放 起来 很漂亮 ， 也 是 方便 款待 客人 的 样式 。 . 可拆卸 的 头枕 能 支撑 头部 ， 保证 脊椎 的 健康 。 . 无论是 闺蜜 还是 比较 疏远 的 客人 ， 直角 转角 都 能 应付自如 。 自己 使用 时 也 能 随意 伸展 身体 ， 实用 指数 高 。 . 一端 无 扶手 设计 ， 上面 加 一块 桌板 ， 方便 随手 放置 一些 物品 。 
 家居 	 130 平 田园 风小 复式   楼住 有情人 ( 组图 ) 拥有 阁楼 应该 是 件 幸福 的 事 ， 它 不但 增加 了 家居 空间 ， 还给 家 的 设计 提供 了 更为 多样化 的 选择 。 这位 网友 的 130 平小 复式 采用 都市田园 风格 ， 明朗 透亮 且 温馨 浪漫 ， 甜蜜 的 小两口 带 着 浓浓 爱意 携手 打造 温馨 爱窝 。 阁楼 自成 观景台 ， 可 尽情 享受 一览 众 “ 山 ” 小 的 精彩 ， 将 阁楼 变 身为 卧室 ， 打破常规 在 阁楼 中 体验 别样 的 灵动 。 
 家居 	 13 款 窗帘 褶皱 设计 大盘 点 ( 组图 ) 帘头 的 褶皱 方式 在 窗帘 所有 的 细节 设计 中 ， 帘头 的 领袖 地位 无法 撼动 。 它 的 造型 直接 决定 了 窗帘 的 风格 ， 或 繁复 华丽 、 或 简约 理性 、 或 感性 浪漫 、 或 知性 优雅 ， 花边 、 束带 的 设计 都 会 受到 它 的 影响 ， 追求 与 之 相配 的 效果 。 所以 ， 想 拥有 一款 称心如意 的 窗帘 ， 选择 帘头 样式 是 最 重要 的 工作 之一 。 
 家居 	 15 款花蔬 交织 的 创意 花艺 ( 组图 ) 园艺 中 愈来愈 流行 的 “ 厨房 花园 ” ， 在 日常生活 中 也 可以 用 花艺 来 阐述 。 那些 常见 的 花材 与 天然 食材 ， 经过 巧妙 的 构思 和 创意 的 设计 ， 形成 了 精美 实用 且 极具 亲和力 的 花蔬 组合 。 单纯 花语   营造 诗意 1 . 龟背竹 有着 宽厚 硕大 的 叶片 ， 通常 它 为 花材 起到 了 烘托 主题 的 作用 。 黄色 马蹄莲 花朵 有着 强烈 的 视觉效果 ， 龟背竹 恰为 它 提供 了 不会 喧宾夺主 的 包装 与 陪衬 。 花材 ： 马蹄莲 与 龟背 叶 制作 ： 将 马蹄 兰 扎成 花束 ， 加 几片 叶材 在 底部 ， 插入 瓶 中 即可 。 
 家居 	 16 款 客厅 设计   8 款 灯饰 搭配 ( 组图 ) 客厅 整体 色彩 基调 以及 结构 的 布置 固然 重要 ， 但是 一款 合适 的 灯饰 也 将 为 你 的 客厅 加 分 。 颜色 鲜艳 ， 色彩 多元化 的 客厅 ， 选用 深色 沉稳 或是 金属色 的 灯饰 ， 能够 平衡 客厅 的 美感 ， 达到 和谐 稳重 之美 。 
