家居 	 给 人 带来 不 一样 的 视觉效果 ( 图 ) 这种 两边 纤薄 的 沙发 ， 给 人 带来 不 一样 的 视觉效果 ， 配 上 两个 传统 的 鸡尾酒 小桌 ， 增加 了 空间 的 实用 功能性 。 墙面 的 空间 ， 用 一组 别致 的 瓷器 作为 展示 ， 聚集 了 整个 空间 的 焦点 。 
 家居 	 给 人 慵懒 美好 的 视觉 感悟 ( 图 ) 光彩 沐浴 如同 浆果 给 人 留下 的 温润 和 幽香 记忆 ， 浆果 色系 同样 给 人 慵懒 美好 的 视觉 感悟 。 船形 浴缸 的 温柔 曲线 与 激情 的 紫色 地板 共处一室 ， 半透明 的 丁香 色 卷帘 制造 出 朦胧 的 意境 。 光彩 流转 之间 ， 沐浴 梦幻 浆果 色 。 
 家居 	 给 孩子 创造 出 更 多 的 玩耍 空间 ( 图 ) 快速 转变 谁 能够 想到 这款 在 厨房 使用 的 柜子 又 可以 成为 一个 很 好 的 桌子 呢 ？ 它 的 高度 刚好 合适 ， 而且 里面 可以 装 下 很多 孩子 的 衣服 等 其它 必需品 。 底下 的 小 轮子 可以 它 随意 移动 ， 可以 给 孩子 创造 出 更 多 的 玩耍 空间 。 
 家居 	 给家 的 设计 提供 了 选择 ( 图 ) 拥有 阁楼 应该 是 件 幸福 的 事 ， 它 不但 增加 了 家居 空间 ， 还给 家 的 设计 提供 了 更为 多样化 的 选择 。 这位 网友 的 130 平小 复式 采用 都市田园 风格 ， 明朗 透亮 且 温馨 浪漫 ， 甜蜜 的 小两口 带 着 浓浓 爱意 携手 打造 温馨 爱窝 。 阁楼 自成 观景台 ， 可 尽情 享受 一览 众 “ 山 ” 小 的 精彩 ， 将 阁楼 变 身为 卧室 ， 打破常规 在 阁楼 中 体验 别样 的 灵动 。 
 家居 	 给 家里 铺上 舒适 的 地毯 ( 图 ) 给 家里 铺上 舒适 的 地毯 ， 既 实用 又 美观 ， 在 温暖 脚下 的 同时 ， 又 能 给 家里 带来 温馨 的 气息 ， 带来 五颜六色 的 好 心情 。 
 家居 	 给 灯罩 换 副 全新 的 模样 ( 图 ) 在 极其 简单 的 剪 剪贴 贴 之中 就 可以 给 灯罩 换 副 全新 的 模样 ， 当然 啦 ， 小 这样 可爱 的 小 花纹 你 可以 自己 在 彩纸 上画 好 剪 出来 贴上去 ， 也 可以 从 市场 上 买来 一些 现成 的 带 不干胶 的 漂亮 图案 。 在 极其 简单 的 剪 剪贴 贴 之中 就 可以 给 灯罩 换 副 全新 的 模样 ， 当然 啦 ， 小 这样 可爱 的 小 花纹 你 可以 自己 在 彩纸 上画 好 剪 出来 贴上去 ， 也 可以 从 市场 上 买来 一些 现成 的 带 不干胶 的 漂亮 图案 。 
 家居 	 给 空间 多一点 通透 ( 图 ) 德国 设计师 安 德华 被 邀请 参与 房子 的 重新 改造 ， 最初 是从 三楼 的 主卫 开始 的 ， 他 以 严谨 而 独特 的 设计 风格 处理 每处 细节 ， 深深地 打动 了 夫妇 二人 ， 于是 他们 决定 将 整个 房子 重新 设计 。 于是 设计师 放弃 了 原有 的 不必要 的 装饰 元素 以及 不 和谐 的 色彩 ， 重新 改造 后 的 房子 给 人 更 多 的 是 一种 自然 的 舒适感 。 如果 不去 对比 邻居家 的 房子 ， 你 甚至 感觉 不到 这里 的 空间 格局 有过 如此 大 的 改动 。 为 配合 主人 含蓄 的 性格 ， 设计师 将 房子 更 多 的 精彩 放在 了 内部空间 的 设计 上 ， 而 没有 附着 于 表面 的 装饰 。 
 家居 	 给 花瓶 添水 的 时候   它会 渐渐 倾斜 ( 图 ) 在 客厅 里 摆放 一些 绿植 和 鲜花 能 给 房间 增加 生气 ， 如果 再配 上 几个 别 ? 的 花盆 就 更是 锦上添花 了 。 
 家居 	 给 花盆 换上 清凉 装扮 ( 图 ) 给 花盆 换上 清凉 装扮 别致 的 花器 能 让 你 的 绿色 宠物 看起来 更加 亮眼 ， 蓝白 的 花盆 套 无疑 是 最具 海滨 气质 的 选择 。   
 家居 	 给 遥控器 搭个 窝 ( 图 ) 坐在 客厅 看电视 ， 想换个 频道 却 找 不到 遥控器 ？ 错过 了 精彩 片断 不说 ， 找 不到 遥控器 真是 烦心 。 给 遥控器 搭个 窝 ， 省下 了 找 东西 的 时间 ！ 一个 小 配件 可以 让 家 变得 越来越 好用 ， 给 人 细心 和 安全感 。   
 家居 	 给 餐桌 一个 颜色   给 自己 一个 美丽 的 家 ( 组图 ) 红色 ： 是 一种 较具 刺激性 的 颜色 ， 它 给人以 燃烧 感 和 挑逗 感 。 但 不宜 接处 过 多 ， 否则 就 容易 产生 焦虑 和 身心 受压 的 情绪 ， 容易 产生 疲劳 。 一般 家具 选择 暗红色 为佳 ， 适量 的 红色 可以 诱发 食欲 。 
 家居 	 绚丽多彩 的 女性 家居设计 ( 组图 ) 女性 的 世界 无一 不 与 色彩 产生 着 千丝万缕 的 联系 。 体现 在 家具 的 选择 上 ， 更是 各有所好 ： 甜甜蜜蜜 的 色彩 是 感性 女性 的 特征 ， 温暖 中性 的 颜色 则 是 沉稳 平和 的 女性 心头 最 爱 。 据介绍 ， 今 年春夏 服装 和彩妆 中 流行 的 带 着 透明 感觉 和 糖果 感觉 的 色彩 ， 比如 粉色 、 粉 蓝色 、 粉 绿色 、 粉 紫色 ， 在 家居饰品 中 也 流行 开来 。 这种 甜蜜 的 颜色 多 用于 窗帘 、 床上用品 、 桌布 、 靠垫 等 。 
 家居 	 绚丽 搭配 打造 初夏 明媚 家   新生 愉悦 视觉 ( 组图 ) 明亮 色 清新 亮丽 ， 可以 使人 产生 心情 愉悦 的 视觉 感受 ， 具有 较强 的 视觉 冲击力 ， 能 获得 醒目 的 空间 装饰 效果 。 代表 色有 橘红色 、 明 黄色 、 草绿色 、 湖 蓝色 等 。   
 家居 	 绚丽 的 客厅 吊灯 ( 图 ) 网友 狂秀 地中海 温馨 爱巢 
 家居 	 绝妙 的 配合   彼此 搭配 和谐 ( 图 ) 图案 游行 。 虽然 这 间 房子 里 的 图案 多样 而 不同 ， 但 它们 之间 却 形成 绝妙 的 配合 ， 彼此 搭配 和谐 。 使用 单色 的 墙壁 和 窗帘 让 一切 不会 显得 太过 繁忙 。 
 家居 	 统一 色质   过渡 层次 ( 图 ) 主题 1   统一 色质   过渡 层次 墙面 、 家具 、 软装 在 房间 中 和谐 统一 ， 并 不 意味着 每件 东西 都 要 成套 系 ， 在 明确 主色调 的 基础 上 ， 使用 不同 的 型 、 色 、 质 物品 在 搭配 上 软硬 互补 、 浓淡 相衬 ， 同样 可以 做到 协调 相衬 ， 更能 为 房间 带来 趣味 。 
 家居 	 绣花枕头 新 时代 的 MM 最爱 ( 图 ) 绣花枕头 ， 表面 上 好看 ， 但 里面 装 的 是 一 草包 。 比喻 人 外表 上 好看 ， 但 实际上 没有 才能 。 但是 ， 新 时代 的 MM 们 ， 充分发挥 了 枕头 的 妙用 ， 打造 了 一个 又 一个 七彩 的 家 。 花 点 心思 ， 漂亮 MM 绝对 不是 绣花枕头 。   
 家居 	 绮丽 无比 的 东方 之美 ( 图 ) 有人 如此 评价 王家卫 的 电影 《 花样年华 》 ：   无法 抗拒 而 又 绮丽 无比 的 东方 之美 ； 一个 有关 人生 的 命题 、 一段 互为 交织 的 爱情 ； 一种 紧张 、 神秘 、 情欲 的 调子 ， 一场 苦乐 参半 的 梦 。 小 编用 花样年华 形容 以下 的 家 ， 怀旧 的 上海 皮沙发 ， 昏黄 的 灯光 ， 木质 家具 另人 仿佛 到 了 《 花样年华 》 的 情景 中 去 。 
